date,waterbody,site,depth,field_dups,lab_reps,variable,units,value,notes
2021-09-15,shubael,2,int,NA,1,phyco,rfu,3.5560000000000005,NA
2021-09-15,shubael,2,int,NA,2,phyco,rfu,3.7072,NA
2021-09-15,shubael,3,int,NA,1,phyco,rfu,4.856800000000001,NA
2021-09-15,shubael,3,int,NA,2,phyco,rfu,4.373600000000001,NA
2021-09-15,shubael,4,int,NA,1,phyco,rfu,3.5416000000000007,NA
2021-09-15,shubael,4,int,NA,2,phyco,rfu,3.4032000000000004,NA
2021-09-15,shubael,B,int,NA,1,phyco,rfu,3.4832000000000005,NA
2021-09-15,shubael,B,int,NA,2,phyco,rfu,3.6880000000000006,NA
2021-09-15,shubael,B,int,NA,3,phyco,rfu,4.0448,NA
2021-10-13,hamblin,B,int,NA,1,phyco,rfu,-0.0495999999999998,NA
2021-10-13,hamblin,B,int,NA,2,phyco,rfu,0.06640000000000043,NA
2021-10-13,hamblin,B,int,NA,3,phyco,rfu,-0.10239999999999952,NA
2021-10-13,shubael,B,int,NA,1,phyco,rfu,2.0311999999999997,NA
2021-10-13,shubael,B,int,NA,2,phyco,rfu,3.4552000000000005,NA
2021-10-13,shubael,B,int,NA,3,phyco,rfu,2.0928000000000004,NA
2021-11-04,hamblin,1,int,NA,1,phyco,rfu,0.25200000000000045,NA
2021-11-04,hamblin,1,int,NA,2,phyco,rfu,-0.04639999999999986,NA
2021-11-04,hamblin,2,int,NA,1,phyco,rfu,0.3456000000000006,NA
2021-11-04,hamblin,2,int,NA,2,phyco,rfu,0.0928000000000003,NA
2021-11-04,hamblin,3,int,NA,1,phyco,rfu,1.0175999999999998,NA
2021-11-04,hamblin,3,int,NA,2,phyco,rfu,0.9872000000000004,NA
2021-11-04,hamblin,4,int,NA,1,phyco,rfu,0.7584000000000003,NA
2021-11-04,hamblin,4,int,NA,2,phyco,rfu,0.31840000000000035,NA
2021-11-04,hamblin,B,int,NA,1,phyco,rfu,0.02400000000000034,NA
2021-11-04,hamblin,B,int,NA,2,phyco,rfu,0.6208000000000005,NA
2021-11-04,hamblin,B,int,NA,3,phyco,rfu,0.08800000000000012,NA
2021-11-04,shubael,1,int,NA,1,phyco,rfu,3.930400000000001,NA
2021-11-04,shubael,1,int,NA,2,phyco,rfu,5.529600000000001,NA
2021-11-04,shubael,2,int,NA,1,phyco,rfu,3.777600000000001,NA
2021-11-04,shubael,2,int,NA,2,phyco,rfu,5.475200000000001,NA
2021-11-04,shubael,3,int,NA,1,phyco,rfu,4.7512,NA
2021-11-04,shubael,3,int,NA,2,phyco,rfu,5.284000000000001,NA
